Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
Oklahoma v. EPA,23-1067 (23-1068),03/25/25,06/18/25,CA10 (CA10),Reverse and Remand,Thomas,(8-0)
EPA v. Calumet Shreveport Refining,23-1229,03/25/25,06/18/25,CA5,Vacate and Remand,Thomas,(7-2)
NRC v. Texas,23-1300 (23-1312),03/05/25,06/18/25,CA5 (CA5),Reverse and Remand,Kavanaugh,(6-3)
Fuld v. PLO,24-20 (24-151),04/01/25,06/20/25,CA2 (CA2),Reverse and Remand,Roberts,(9-0)
Stanley v. City of Sanford,23-997,01/13/25,06/20/25,CA11,Affirm,Gorsuch,(8-1)*
Diamond Alternative Energy v. EPA,24-7,04/23/25,06/20/25,CADC,Reverse and Remand,Kavanaugh,(7-2)
McLaughlin Chiropractic v. McKesson Corp,23-1226,01/21/25,06/20/25,CA9,Reverse and Remand,Kavanaugh,(6-3)
Esteras v. United States,23-7483,02/25/25,06/20/25,CA6,Vacate and Remand,Barrett,(7-2)*
FDA v. R.J. Reynolds Vapor Co.,23-1187,01/21/25,06/20/25,CA5,Affirm and Remand,Barrett,(7-2)
