Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Riley v. Bondi,23-1270,Alito,M,RC,M*,D,JD,JD,M,M,JD
Trump v. CASA Inc.,24A884,Barrett,M,RC-JRC,RC,D,JD,JRC,RC,M*,D-JD
Kennedy v. Braidwood MGMT,24-316,Kavanaugh,M,D,JD,M,M,JD,M*,M,M
FCC v. Consumers' Research,24-354,Kagan,M,JD,JD,M,M*,D,RC,M,RC
Mahmoud v. Taylor,24-297,Alito,M,M*,RC,D,JD,M,M,M,JD
Free Speech Coalition v. Paxton,23-1122,Thomas,M,M*,M,JD,D,M,M,M,JD
