Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
Riley v. Bondi,23-1270,03/24/25,06/26/25,CA4,Vacate and Remand,Alito,(5-4)
Trump v. CASA Inc.,24A884 (24A885;24A886),05/15/25,06/27/25,CA4 (CA9;CA1),Vacate,Barrett,(6-3)
Kennedy v. Braidwood MGMT,24-316,04/21/25,06/27/25,CA5,Reverse and Remand,Kavanaugh,(6-3)
FCC v. Consumers' Research,24-354 (24-422),03/26/25,06/27/25,CA5 (CA5),Reverse and Remand,Kagan,(6-3)
Mahmoud v. Taylor,24-297,04/22/25,06/27/25,CA4,Reverse and Remand,Alito,(6-3)
Free Speech Coalition v. Paxton,23-1122,01/15/25,06/27/25,CA5,Affirmed,Thomas,(6-3)
