Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Oklahoma v. EPA,23-1067,Thomas,JCJ,M*,DNP,M,M,CJ,M,M,M
EPA v. Calumet Shreveport Refining,23-1229,Thomas,JD,M*,M,M,M,D,M,M,M
NRC v. Texas,23-1300,Kavanaugh,M,JD,JD,M,M,D,M*,M,M
Fuld v. PLO,24-20,Roberts,M*,CJ,M,M,M,JCJ,M,M,M
Stanley v. City of Sanford,23-997,Gorsuch,M,SC,M,SC,M,M*,M,JSC,D
Diamond Alternative Energy v. EPA,24-7,Kavanaugh,M,M,M,D,M,M,M*,M,D
McLaughlin Chiropractic v. McKesson Corp,23-1226,Kavanaugh,M,M,M,JD,D,M,M*,M,JD
Esteras v. United States,23-7483,Barrett,M,M,D,CJ,M,JD,M,M*,CJ
FDA v. R.J. Reynolds Vapor Co.,23-1187,Barrett,M,M,M,JD,M,M,M,M*,D
Hewitt v. United States,23-1002,Jackson,M,JD,D,M,M,M,JD,JD,M*
Medina v. Planned Parenthood South Atlantic,23-1275,Gorsuch,M,RC,M,JD,JD,M*,M,M,D
Gutierrez v. Saenz,23-7809,Sotomayor,M,D-JD,D,M*,M,JD,M,CJ,M
