Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
Trump v. J.G.G.,24A931, ,04/07/25,DCDC,Vacate,Per Curiam,(5-4)*
Cunningham v. Cornell University,23-1007,01/22/25,04/17/25,CA2,Reverse and Remand,Sotomayor,(9-0)
Velazquez v. Garland,23-929,11/12/24,04/22/25,CA10,Reverse and Remand,Gorsuch,(5-4)
Advocate Christ Medical Center v. Becerra,23-715,11/05/24,04/29/25,CADC,Affirm,Barrett,(7-2)
Feliciano v. Department of Transportation.,23-861,12/09/24,04/30/25,CAFED,Reverse and Remand,Gorsuch,(5-4)
Barnes v. Felix,23-1239,01/22/25,05/15/25,CA5,Vacate and Remand,Kagan,(9-0)
A.A.R.P v. Trump,24A1007, ,05/16/25,CA5,Vacate,Per Curiam,(7-2)
Kousisis v. United States,23-909,12/09/24,05/22/25,CA3,Affirm,Barrett,(9-0)
OK Charter School Board v. Drummond,24-394 (23-396),04/30/25,05/22/25,SCOK (SCOK),Affirm,Per Curiam,(4-4)*
Seven County Infrastructure Coalition v. Eagle County,23-975,12/10/24,05/29/25,CADC,Reverse and Remand,Kavanaugh,(8-0)
Laboratory Corp. of America v. Davis,24-304,04/29/25,06/05/25,CA9,DIG,Per Curiam,(8-1)
Ames v. OH Dept. of Youth Services,23-1039,02/26/25,06/05/25,CA6,Vacate and Remand,Jackson,(9-0)
