"case_name","docket","ALITO","BARRETT","GORSUCH","JACKSON","KAGAN","KAVANAUGH","ROBERTS","SOTOMAYOR","THOMAS"
"Nancy Williams, Et Al. v. Fitzgerald Washington, Alabama Secretary Of Labor","23-191",3.96,3.23,4.05,6.5,5.36,3.84,2.57,6.47,0.8
"Medical Marijuana, Inc., Et Al. v. Douglas J. Horn","23-365",2.71,1.18,2.67,6.09,4.4,4.82,2.26,3.86,0.61
"Amina Bouarfa v. Alejandro Mayorkas, Secretary Of Homeland Security, Et Al.","23-583",1.54,0.4,3.39,5.56,3.12,0.11,1.74,2.01,0.57
"Gerald F. Lackey, In His Official Capacity As The Commissioner Of The Virginia  Department Of Motor Vehicles v. Damian Stinnie, Et Al.","23-621",2.24,1.68,5.74,7.85,5.64,1.4,4.55,5.64,0.93
"Royal Canin U.s.a., Inc., Et Al. v. Anastasia Wullschleger, Et Al.","23-677",2.96,2.72,2.05,6.27,5.86,3.52,2.17,3.14,1.29
"Joshua E. Bufkin, Et Al. v. Denis R. Mcdonough, Secretary Of Veterans Affairs","23-713",4.33,0.51,6.59,7.92,4.05,1.5,2.31,5.19,0.3
"City And County Of San Francisco, California v. Environmental Protection Agency","23-753",2.8,0.67,4.72,8.8,9.08,7.46,3.43,10.42,1.76
"Merrick B. Garland, Attorney General, Et Al. v. Jennifer Vanderstok, Et Al.","23-852",3.93,2.12,4.46,5.43,1.93,1.4,1.29,5.18,1.23
