"Case","Argued","Petitioner Counsel","Respondent Counsel","Arguing Amici","Lower Court","Cert Stage Amici","Merits Stage Amici"
"Culley v. Marshall","10/30/2023","Shay Dvoretzky","Edmund LaCour, Jr.","Nicole Reaves","CA11",3,11
"O'Connor Ratcliff v. Garnier","10/31/2023","Hashim Moonpan","Pamela Karlan","Sopan Joshi","CA9",0,14
"Lindke v. Freed","10/31/2023","Allon Kedem","Victoria Ferres","Masha Hansford","CA6",0,11
"Vidal v. Elster","11/01/2023","Malcolm Stewart","Jonathan Taylor","","CAFed",1,7
"Dept. of Agric. Rural Div. v. Kirtz","11/06/2023","Benjamin Snyder","Nandan Joshi","","CA3",0,2
"U.S. v. Rahimi","11/07/2023","Elizabeth Prelogar","J. Matthew Wright","","CA5",7,60
"Rudisill v. McDonough","11/08/2023","Misha Tseytlin","Vivek Suri","","CAFed",4,11
