"Case","Argued","Petitioner Counsel","Respondent Counsel","Arguing Amici","Lower Court","Cert Stage Amici","Merits Stage Amici"
"CAMPOS-CHAVES V. GARLAND, ATT’Y GEN &
 GARLAND, ATT’Y. GEN. V. SINGH
(Consolidated)","01/08/2024","Easha Anand","Charles L. McCloud","","CA5",0,5
"FBI V. FIKRE","01/08/2024","Sopan Joshi","Gadeir Abbas","","CA9",0,10
"SHEETZ V. COUNTY OF EL DORADO","01/09/2024","Paul J. Beard II","Aileen M. McGrath","Erica L. Ross","Cal. Ct. App.",5,23
"UNITED STATES TRUSTEE V. JOHN Q. HAMMONS FALL 2006, LLC","01/09/2024","Masha G. Hansford","Daniel L. Geyser","","CA10",0,6
"SMITH V. ARIZONA","01/10/2024","Hari Santhanam","Alexander W. Samuels","Eric J. Feigin","Ariz. Ct. App.",0,10
"MACQUAIRE INFRASTRUCTURE CORP. V. MOAB PARTNERS, L.P.","01/16/2024","Linda T. Coberly","David C. Frederick","Ephraim McDowell","CA2",2,9
"DEVILLIER V. TEXAS","01/16/2024","Robert J. McNamara","Aaron L. Nielson","Edwin S. Kneedler","CA5",2,12
"RELENTLESS, INC. V. DEPT. OF COMMERCE","01/17/2024","Roman Martinez","Elizabeth B. Prelogar","","CA1",2,11
"LOPER BRIGHT ENTERPRISES, INC. RAIMONDO, SEC. OF COMMERCE","01/17/2024","Paul D. Clement","Elizabeth B. Prelogar","","CADC",8,62
