"Case","Argued","Petitioner Counsel","Respondent Counsel","Arguing Amici","Lower Court","Cert Stage Amici","Merits Stage Amici"
"Brown v. United States &
 Jackson v. United States","11/27/2023","Jeffrey T. Green 
(For Brown) & 
 Andrew Lee Adler 
(For Jackson)","Austin Raynor","","CA3 
& CA11",1,4
"McElrath v. Georgia","11/28/2023","Richard A. Simpson","Stephen J. Petrany","","SCGA",1,4
"Wilkinson v. Garland, Att'y Gen.","11/28/2023","Jamie A. Santos","Colleen R. Sinzdak","","CA3",0,3
"SEC v. Jarkesy","11/29/2023","Brian H. Fletcher","S. Michael McColloch","","CA5",0,38
"Harrington v. Purdue Pharma L.P.","12/04/2023","Curtis E. Gannon","Gregory G. Garre (For Purdue Pharma L.P) & Pratik A. Shah 
(For Unsecured Creditors","","CA2",0,26
"Moore v. United States","12/05/2023","Andrew M. Grossman","Elizabeth B. Prelogar","","CA9",8,43
"Muldrow v. St. Louis","12/06/2023","Brian Wolfman","Robert M. Loeb","Aimee W. Brown","CA8",3,12
