short_hand,total_time_spoken,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Culley v. Marshall,48.9,2.4,2.68,2.88,12.52,5.22,5.52,3.75,2.15,11.78
O'Connor-Ratcliff v. Garner,43.57,2.69,1.62,6.21,7.76,6.09,1.77,4.74,5.68,7.01
Lindke v. Freed,31.46,3.74,1.92,2.57,6.15,3.01,2.27,4.2,1.19,6.41
Vidal Under Sec. of Comm. v. Elster,28.83,3.05,1.03,4,3.56,4.28,4.06,2.09,2.28,4.48
Dept. of Agric. Rural Dev. v. Kirtz,36.78,2.65,0.95,1.88,4.87,5.35,4.18,8.27,0.68,7.95
U.S. v. Rahimi,33.06,3.56,3.53,4.4,1.21,3.46,4.34,1.37,3.39,7.8
Rudisill v. McDonough,32.19,5.09,1.87,1.45,2.09,1.88,3.16,4.28,0.59,11.78
